BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
253,1,Good,0.971607,56.30757,31.0,-181.59165,109306.06236,-17.68728,0.97391,0.96357,0.72556,-1.94671
254,1,Good,0.872636,53.58882,30.0,-266.40534,94632.35263,-16.9306,0.9773,0.93901,1.3764,-2.04782
255,1,Good,0.895033,71.13072,41.0,-159.23642,112618.99263,-14.20805,0.97564,0.9708,0.60813,-1.79384
256,1,Good,0.935839,86.33193,23.0,605.83704,147779.92748,-4.68848,1.06162,1.05923,9.09105,-0.88781
257,1,Good,0.832401,57.98302,62.0,-389.21747,101242.43053,-14.92271,0.89324,0.8606,1.46933,-2.69766
258,1,Good,0.83046,92.93759,48.0,-92.39976,72400.51722,-2.7748,1.03389,0.95845,2.02737,-0.90909
259,1,Good,0.979433,43.68159,38.0,-22.11835,185045.03819,-8.10896,1.0251,0.98684,6.46507,-2.23419
260,1,Good,0.938314,74.07632,54.0,-398.23268,85656.76443,-18.84804,0.94619,0.8957,0.87653,-3.39365
261,1,Good,0.796112,70.25534,75.0,-329.15681,82849.23696,-15.70306,0.94219,0.88003,0.38451,-2.06219
262,1,Good,0.897179,51.14842,46.0,-362.3868,104249.14054,-26.54657,1.02383,0.92529,4.2742,-2.39027
263,1,Good,0.829613,51.9513,49.0,-499.91799,104712.55847,-28.04804,1.00964,0.90166,3.26821,-2.63465
264,1,Bad,0.647555,69.99188,63.0,-402.11634,88035.89639,-19.78065,0.94219,0.87275,1.03488,-2.51751
265,1,Bad,0.50759,21.50631,27.0,828.40871,62117.35084,-7.72334,1.91016,1.31309,18.21142,0.0
266,1,Bad,0.552999,26.89054,58.0,-180.98033,41646.88846,-6.30366,1.9875,0.91392,8.32514,-0.00702
267,1,Bad,0.575686,31.77489,65.0,-182.3182,11153.09064,-8.47148,1.12451,0.37539,0.37839,-0.27916
268,1,Good,0.927393,32.10253,35.0,903.29024,45450.31256,-0.75417,1.79316,1.41982,12.79484,-0.0734
269,1,Good,0.936637,70.78837,71.0,-505.53179,60899.66912,-19.83313,0.88445,0.80523,0.51775,-3.24458
270,1,Good,0.997595,60.87367,51.0,-602.37378,103882.23875,-28.45645,0.904,0.877,0.22118,-4.80884
271,1,Good,0.933448,57.84624,59.0,-438.93049,76881.68343,-15.85647,0.88784,0.81387,2.96544,-2.89845
272,1,Good,0.863559,49.64257,35.0,-96.02968,106139.52535,-8.4291,1.00664,0.95027,8.35361,-3.37294
273,1,Good,0.952161,46.02192,45.0,-278.81785,121858.26373,-18.43446,0.99529,0.93926,6.33877,-3.81856
274,1,Good,0.973199,59.95408,49.0,-329.11848,107825.71815,-19.99151,0.9426,0.92988,1.41058,-3.39484
275,1,Good,0.821281,52.30555,50.0,-576.50964,136151.01277,-25.41496,0.93655,0.91987,2.01587,-6.42171
276,1,Good,0.908505,63.97473,29.0,44.93137,75023.87364,-7.96625,1.16065,1.02505,5.13734,-0.6448
277,1,Good,0.897179,42.01766,29.0,100.59039,113082.06593,-8.59829,1.06748,1.00728,7.97432,-1.35909
278,1,Good,0.960037,38.95763,34.0,65.16343,104417.14817,-2.48332,1.16924,1.0054,7.99851,-0.78248
279,1,Good,0.765622,52.48408,51.0,-758.2598,139168.13859,-27.96149,0.89805,0.89063,0.62824,-7.34983
280,1,Good,0.948964,59.26051,18.0,488.36915,82488.5567,-2.28202,1.21973,1.11802,9.91343,-0.69531
281,1,Good,0.973046,43.62629,33.0,-169.94333,133812.03337,-4.89642,0.98477,0.9747,1.48624,-2.18203
282,1,Good,0.784268,73.93327,24.0,680.75329,115180.32685,-7.18631,1.06885,1.06182,14.09489,-1.7163
283,1,Good,0.837963,48.04164,26.0,1082.95308,159886.47026,-4.86768,1.0792,1.07188,14.47065,-1.00359
284,1,Good,0.997833,33.661,23.0,362.07996,183538.43523,-5.7168,1.09087,1.04104,10.05074,-1.58074
285,1,Good,0.954909,44.77757,32.0,142.13433,118709.91595,-10.69472,1.04878,1.02141,4.53688,-1.00839
286,1,Medium,0.806543,52.04383,42.0,-272.11006,123862.0105,-15.61097,0.95645,0.91816,1.82258,-1.87961
287,1,Good,0.960017,71.31134,50.0,-52.35123,84227.70217,-0.78707,1.00554,0.98505,1.27627,-0.96918
288,1,Good,0.95178,69.71572,65.0,-1001.39175,100216.74614,-36.48982,0.76987,0.73481,1.60045,-7.95374
289,1,Good,0.921374,48.65564,52.0,-320.5257,97783.0475,-16.87913,0.98936,0.91148,7.30424,-3.09887
290,1,Good,0.933448,57.0313,32.0,526.24152,142160.11917,-10.53712,1.00054,0.99644,9.27952,-1.60207
291,1,Good,0.997615,56.34726,41.0,-232.36125,173469.27453,-18.41832,0.94253,0.9127,6.80381,-4.32308
292,1,Good,0.98325,54.04487,65.0,-551.08112,117129.36826,-18.36886,0.91846,0.88691,1.81555,-4.45506
293,1,Good,0.970576,52.3709,53.0,-397.86645,104828.15546,-16.24823,0.89744,0.84468,2.06699,-2.47465
294,1,Good,0.997566,57.73141,57.0,-208.35891,74755.15893,-9.3361,0.98419,0.93438,0.9956,-1.15204
295,1,Good,0.973354,39.41021,65.0,-287.7084,70746.20242,-11.10654,1.09067,0.90606,4.46985,-0.55589
296,1,Good,0.997605,47.12119,44.0,-131.32862,109403.60368,-9.41393,1.05796,0.95696,9.81609,-3.07371
297,1,Good,0.958225,51.4889,46.0,-74.65953,107659.13194,-15.42522,1.02976,0.99375,3.34621,-1.29883
298,1,Good,0.803392,41.04332,22.0,327.44731,117211.5719,-12.77227,1.11411,1.03848,11.77999,-1.88155
299,1,Good,0.982454,49.95989,42.0,-333.52966,132877.11971,-16.16596,0.95867,0.947,1.39157,-3.61283
300,1,Good,0.975975,60.6638,64.0,-131.58171,95174.51979,-6.25924,1.02231,0.97813,3.29109,-1.33114
301,1,Good,0.982454,90.27247,56.0,-524.86827,135235.58478,-33.37554,0.81421,0.80776,1.48503,-4.95767
302,1,Good,0.969052,76.79891,42.0,-172.05906,93127.88814,-20.65926,0.85186,0.85039,3.48185,-2.88592
303,1,Good,0.99252,76.3436,58.0,-156.97804,74893.93354,-2.90202,0.93535,0.91721,1.32702,-1.38509
304,1,Good,0.945486,64.90349,36.0,200.45208,158907.44584,-6.14383,1.01514,1.00808,6.41415,-1.74625
